Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-eh2510-il-500000
Airfoil,eh2510-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,91.4217
Max Cl/Cd alpha,7.25
Url,http://airfoiltools.com/polar/csv?polar=xf-eh2510-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
12.000,1.1263,0.03604,0.03045,0.0209,0.0081,1.0000
12.250,1.1266,0.03877,0.03326,0.0206,0.0077,1.0000
12.500,1.1260,0.04160,0.03618,0.0203,0.0076,1.0000
12.750,1.1253,0.04450,0.03917,0.0199,0.0073,1.0000
13.000,1.1246,0.04734,0.04211,0.0198,0.0074,1.0000
13.250,1.1238,0.05028,0.04513,0.0194,0.0072,1.0000
13.500,1.1230,0.05324,0.04817,0.0190,0.0071,1.0000
13.750,1.1212,0.05634,0.05135,0.0185,0.0069,1.0000
14.000,1.1198,0.05942,0.05452,0.0181,0.0069,1.0000
14.250,1.1181,0.06259,0.05779,0.0176,0.0068,1.0000
14.500,1.1158,0.06595,0.06126,0.0171,0.0068,1.0000
14.750,1.1131,0.06950,0.06492,0.0164,0.0067,1.0000
15.000,1.1058,0.07363,0.06918,0.0160,0.0065,1.0000
15.250,1.1014,0.07777,0.07346,0.0145,0.0065,1.0000
15.500,1.0925,0.08269,0.07853,0.0130,0.0065,1.0000
15.750,1.0884,0.08713,0.08310,0.0106,0.0066,1.0000
16.000,1.0767,0.09288,0.08901,0.0083,0.0065,1.0000
16.250,1.0701,0.09809,0.09436,0.0054,0.0066,1.0000
16.500,1.0574,0.10463,0.10110,0.0020,0.0068,1.0000
16.750,1.0443,0.11146,0.10810,-0.0017,0.0069,1.0000
17.000,1.0069,0.12412,0.12113,-0.0085,0.0074,1.0000
17.250,0.9847,0.13389,0.13106,-0.0141,0.0076,1.0000
